name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Renault KWID 1.0 RXT Optional,2017,35000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault
Chevrolet Beat LT,2010,68000,Petrol,Individual,Manual,Fourth & Above Owner,18.6,1199.0,79.4,5.0,Chevrolet
Maruti Swift VXI Optional,2015,30000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,Maruti
Mahindra XUV500 W10 2WD,2017,54000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra
Maruti Swift 1.3 VXi,2006,65000,Petrol,Individual,Manual,Third Owner,,,,,Maruti
Mahindra Bolero GLX,2004,80000,Diesel,Individual,Manual,Third Owner,,,,,Mahindra
Tata Indica V2 DLX TC,2006,120000,Diesel,Individual,Manual,Third Owner,16.8,1405.0,68.0,5.0,Tata
Hyundai Grand i10 1.2 Kappa Magna BSIV,2018,30000,Petrol,Individual,Manual,First Owner,18.9,1197.0,81.86,5.0,Hyundai
