name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Tata Indica Vista Safire GLX,2014,35000,Petrol,Individual,Manual,Second Owner,16.7,1172.0,64.1,5.0,Tata
Renault Triber RXZ,2019,7720,Petrol,Individual,Manual,First Owner,20.0,999.0,71.0,7.0,Renault
Mahindra XUV500 W8 AWD,2014,50000,Diesel,Partnership,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra
Maruti Zen D,2002,60000,Diesel,Individual,Manual,Second Owner,20.8,1527.0,58.0,5.0,Maruti
Mahindra Verito Vibe 1.5 dCi D6,2016,100000,Diesel,Individual,Manual,First Owner,20.8,1461.0,64.1,5.0,Mahindra
Hyundai i20 Magna 1.2,2016,57882,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,i20
Tata Safari Storme LX,2018,142000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.94,5.0,Tata
Tata Safari Storme LX,2018,140000,Diesel,Individual,Manual,Third Owner,14.1,2179.0,147.94,5.0,Tata
