name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Volkswagen Passat 1.8 TSI MT,2010,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,Volkswagen
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,Tata
Mahindra XUV500 W11 Option AWD,2019,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,Mahindra
Tata Indigo CS LS (TDI) BS-III,2016,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,Tata
Hyundai Verna 1.6 SX,2013,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,Hyundai
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,Hyundai
Toyota Corolla Altis G,2009,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,Toyota
Maruti Celerio VXI,2020,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,Maruti
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
