name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Datsun GO T BSIV,2014,33000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,Datsun
Hyundai i10 Magna 1.1L,2016,80000,Petrol,Individual,Manual,First Owner,19.81,1086.0,68.05,5.0,Hyundai
Hyundai Elite i20 Magna Plus BSIV,2019,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,Elite
Hyundai i10 Magna 1.2 iTech SE,2014,25000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.9,5.0,Hyundai
Skoda Fabia 1.2 TDI Active Plus,2012,50000,Diesel,Individual,Manual,Second Owner,20.86,1199.0,75.0,5.0,Skoda
Tata Hexa XE,2017,50000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7.0,Tata
Tata Indica Vista Terra Quadrajet 1.3L,2010,120000,Diesel,Individual,Manual,Second Owner,18.0,1248.0,75.0,5.0,Tata
Tata Manza Aura (ABS) Quadrajet,2010,120000,Diesel,Individual,Manual,Third Owner,18.8,1248.0,90.0,5.0,Tata
Toyota Innova 2.5 GX (Diesel) 7 Seater,2016,80000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota
