name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Vitara Brezza ZDi,2017,15381,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Mahindra Bolero SLX 4WD BSIII,2011,5000,Diesel,Individual,Manual,Rent,13.6,3587 CC,63.0,7.0,Mahindra
Nissan Terrano XV Premium 110 PS,2014,40000,Diesel,Individual,Manual,First Owner,19.01,1461.0,108.5,5.0,Nissan
Maruti Wagon R LXI CNG,2016,35000,CNG,Individual,Manual,Second Owner,26.6,998.0,58.16,5.0,Maruti
Maruti Alto K10 LXI,2018,10000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti
Mahindra XUV500 W10 AWD,2019,10000,Diesel,Individual,Manual,First Owner,16.0,2179.0,140.0,7.0,Mahindra
Maruti Swift AMT ZXI BSIV,2018,25000,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,Maruti
Maruti Wagon R AMT VXI,2017,50000,Petrol,Individual,Automatic,First Owner,42 kmpl,998.0,67.0,5.0,Maruti
Tata Nexon 1.2 Revotron XE,2018,30000,Petrol,Individual,Manual,First Owner,17.0,1198.0,108.5,5.0,Tata
