name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Ford Endeavour 2.5L 4X2 MT,2012,170000,Diesel,Individual,Manual,First Owner,13.1,2499.0,141.0,7.0,Ford
Maruti Swift Dzire LDI,2013,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Maruti Omni 8 Seater BSIV,2012,62000,Petrol,Individual,Manual,First Owner,14.0,796.0,35.0,5.0,Maruti
Mahindra XUV500 W8 AWD,2014,110000,Diesel,Individual,Manual,First Owner,15.1,2179.0,140.0,7.0,Mahindra
Hyundai Santro Xing GL CNG,2007,137000,CNG,Individual,Manual,First Owner,,,,,Hyundai
Chevrolet Tavera Neo 3 LS 9 Str BSIII,2015,80000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.4,9.0,Chevrolet
Maruti Zen Base,2002,80000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Swift Dzire VDI,2,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Mahindra Bolero 2011-2019 Plus - AC BSIII,2015,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,63.0,9.0,Bolero
