name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Volkswagen Vento 1.5 TDI Highline BSIV,2019,5400,Diesel,Dealer,Manual,Test Drive Car,22.27,1498.0,108.6,5.0,Volkswagen
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2016,45000,Diesel,Dealer,Automatic,Second Owner,16.38,1995.0,183.0,5.0,Hyundai
Renault KWID AMT RXL,2018,31000,Petrol,Dealer,Automatic,First Owner,24.04,999.0,67.0,5.0,Renault
Renault KWID 1.0 RXT Optional,2018,31000,Petrol,Dealer,Manual,First Owner,23.01,999.0,67.0,5.0,KWID
Maruti Wagon R VXI Opt 1.2,2016,55000,Petrol,Dealer,Manual,Rent,20.52,1197.0,81.8,5.0,Maruti
Tata Nano XTA,2018,55000,Petrol,Dealer,Automatic,First Owner,21.9,624.0,37.48,4.0,Nano
Hyundai Verna 1.6 SX,2014,117000,Diesel,Dealer,Manual,First Owner,22.32,1582.0,126.32,5.0,Hyundai
BMW 3 Series 320d Luxury Line,2010,102000,Diesel,Dealer,Automatic,First Owner,19.62,1995.0,187.74,5.0,BMW
Volkswagen Passat 2.0 TDI AT Highline,2012,108000,Diesel,Dealer,Automatic,Rent,17.42,1968.0,175.0,5.0,Volkswagen
