name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Land Rover Discovery Sport TD4 SE,2019,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,Land
BMW 5 Series 520d Sport Line,2018,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,BMW
Honda CR-V 2.4L 4WD AT AVN,2017,73000,Petrol,Dealer,Automatic,Rent,12.0,2354.0,187.4,5.0,Honda
Skoda Superb LK 1.8 TSI AT,2018,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,Skoda
Maruti Ciaz 1.3 Alpha,2017,28050,Diesel,Dealer,Manual,First Owner,28.09,1248.0,88.5,5.0,Maruti
Honda CR-V 2.4L 4WD AT AVN,2017,58000,Petrol,Dealer,Automatic,Rent,12.0,2354.0,187.4,5.0,Honda
Tata Hexa XTA,2017,58000,Diesel,Dealer,Automatic,First Owner,17.6,2179.0,153.86,7.0,Tata
Renault Duster 85PS Diesel RxZ,2014,69000,Diesel,Dealer,Manual,First Owner,19.87,1461.0,83.8,5.0,Renault
Mercedes-Benz GL-Class 350 CDI Luxury,2016,70000,Diesel,Dealer,Automatic,First Owner,12.0,2987.0,224.0,7.0,Mercedes
