name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Tata Tiago 1.2 Revotron XZ,2016,40000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,,Tata
Hyundai Santro Xing XL eRLX Euro II,2006,100000,Petrol,Individual,Manual,Second Owner,,,,,Santro
Tata Indica V2 Turbomax DLS BS IV,2012,90000,Diesel,Individual,Ai,Second Owner,19.0,1405.0,71.0,5.0,Tata
Hyundai i20 1.4 CRDi Magna,2011,80000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,90.0,5.0,Hyundai
Hyundai EON LPG Era Plus,2012,120000,LPG,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,Hyundai
Mahindra Ssangyong Rexton RX7,2013,200000,Diesel,Individual,Automatic,First Owner,11.18,2696.0,184.0,7.0,Mahindra
Tata Indica V2 DLS,2007,110000,Diesel,Individual,Manual,Second Owner,17.2,1396.0,53.5,5.0,Tata
Tata Tiago 1.2 Revotron XT,2017,38000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,Tata
Tata Tiago 1.2 Revotron XT,2017,35000,Petrol,Individual,Manual,Second Owner,23.84,1199.0,84.0,5.0,Tata
