name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Estilo LXI,2010,27000,Petrol,Individual,Manual,First Owner,,,,,Maruti
Hyundai i20 Sportz 1.4 CRDi,2012,50000,Diesel,Individual,Manual,Second Owner,21.9,1396.0,88.76,5.0,Hyundai
Tata Tiago NRG Petrol AMT,2019,2560,Petrol,Individual,Automatic,First Owner,24.0,1199.0,83.81,5.0,Tata
Maruti Alto LX,2004,60000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.3,5.0,Maruti
Maruti Wagon R VXI BS IV,2016,80000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,Maruti
Maruti 800 DX,1999,50000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti
Chevrolet Enjoy TCDi LS 8 Seater,2015,120000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,8.0,Chevrolet
Honda City V MT,2009,120000,Petrol,Individual,Manual,Second Owner,16.8,1497.0,116.3,5.0,City
Hyundai EON Magna Plus,2013,47000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.2,5.0,Hyundai
