name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Hyundai Verna SX Diesel,2013,80000,Diesel,Dealer,Manual,First Owner,25.0,1493.0,113.42,5.0,Hyundai
Maruti SX4 S Cross 2015-2017 DDiS 200 Sigma,2016,108000,Diesel,Dealer,Manual,First Owner,23.65,1248.0,88.5,5.0,Maruti
Toyota Innova 2.5 ZX Diesel 7 Seater BSIII,2015,170000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,7.0,Toyota
Maruti Swift VVT ZXI,2017,25000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.8,5.0,Swift
Hyundai Creta 1.6 SX,2018,11000,Petrol,Individual,Manual,First Owner,15.8,1591.0,121.3,5.0,Hyundai
Maruti S-Presso VXI AT,2019,5000,Petrol,Individual,Automatic,First Owner,21.7,998.0,67.0,5.0,Maruti
Ford Ecosport 1.5 Diesel Titanium,2014,105000,Diesel,Dealer,Manual,First Owner,21.7,1498.0,98.96,5.0,Ford
Maruti Ritz VXi,2012,40000,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0,Maruti
Maruti Swift ZDi,2014,90000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,Maruti
