name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Swift ZXI ABS,2011,58000,Petrol,Individual,Manual,Third Owner,16.1,1298.0,88.2,5.0,Maruti
Maruti Swift Dzire VXi AT,2012,120000,Electric,Partnership,Automatic,First Owner,17.4,1197.0,85.8,5.0,Maruti
Maruti Swift LXI Option,2014,50000,Petrol,Individual,Ai,First Owner,20.4,1197.0,81.8,5.0,Maruti
Hyundai i20 1.2 Asta,2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197.0,80.0,5.0,Hyundai
Maruti Zen LXI,2003,60000,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993.0,60.0,5.0,Maruti
Maruti Celerio LXI,2017,36000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Toyota Innova 2.5 V Diesel 8-seater,2007,120000,Diesel,Individual,Manual,Third Owner,12.8,2494.0,102.0,8.0,Toyota
Maruti Ritz LDi,2011,185000,Diesel,Individual,Manual,Third Owner,21.1,1248.0,73.9,5.0,Maruti
Nissan Micra Diesel XV,2011,50000,Diesel,Individual,Manual,First Owner,23.08,1461.0,63.1,5.0,Nissan
