name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Honda City E,2012,40000,Petrol,Partnership,Manual,Second Owner,16.8,1497.0,116.3,5.0,Honda
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,160000,Diesel,Individual,Manual,Second Owner,,,,,Tata
Maruti Celerio VXI,2016,25000,Petrol,Individual,Manual,First Owner,23.1,998.0,67.04,5.0,Maruti
Maruti Alto K10 LXI,2012,29500,Petrol,Partnership,Manual,First Owner,20.92,998.0,67.1,5.0,Maruti
Hyundai Verna VTVT 1.6 SX,2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,Hyundai
Maruti Alto 800 VXI,2016,50000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.3,5.0,Maruti
Renault KWID RXL,2016,30000,Petrol,Individual,Manual,Second Owner,25.17,2051 CC,53.3,5.0,Renault
Maruti Alto 800 LXI,2012,100000,Petrol,Individual,Manual,First Owner,22.74,796.0,47.3,5.0,Maruti
Chevrolet Aveo 1.4 LS,2011,60000,Petrol,Individual,Manual,Second Owner,14.49,1399.0,92.7,5.0,Chevrolet
