name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Toyota Etios GD,2014,120000,Diesel,Individual,Manual,Second Owner,23.59,1364.0,67.04,5.0,Toyota
Hyundai i20 Magna,2010,49000,Petrol,Individual,Manual,First Owner,18.5,1197.0,80.0,5.0,Hyundai
Hyundai i20 2015-2017 Magna 1.2,2016,29000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Nissan Terrano XV D Premium AMT,2017,55000,Diesel,Individual,Automatic,First Owner,19.61,1461.0,108.5,5.0,Nissan
Maruti Alto K10 VXI,2015,40000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.05,5.0,Maruti
Honda City 1.5 S Inspire,2010,120000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,Honda
Maruti Omni LPG STD BSIV,1999,100000,LPG,Individual,Manual,Fourth & Above Owner,,,,,Maruti
Maruti Vitara Brezza ZDi,2019,10000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Fiat Grande Punto Sport 90BHP,2012,70000,Diesel,Individual,Manual,Rent,Unknown,1248.0,92.0,5.0,Fiat
