name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Tata Zest Revotron 1.2 XT,2015,40000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.7,5.0,Tata
Hyundai Accent GLE,2008,95200,Petrol,Individual,Manual,Third Owner,13.2,1495.0,94.0,5.0,Hyundai
Honda Brio Exclusive Edition,2014,33033,Petrol,Dealer,Ai,First Owner,19.4,1198.0,86.8,5.0,Honda
Hyundai Grand i10 AT Asta,2015,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197.0,82.0,5.0,Hyundai
Tata Manza Club Class Quadrajet90 LX,2012,60000,Diesel,Individual,Manual,First Owner,21.02,1248.0,88.76,5.0,Tata
Maruti Alto LX,2005,45000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0,Maruti
Tata New Safari DICOR 2.2 EX 4x2,2011,80000,Diesel,Individual,Manual,Third Owner,11.57,2179.0,138.1,7.0,Tata
Mahindra Bolero SLE,2009,170000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,Mahindra
Mahindra Bolero DI DX 7 Seater,2007,207890,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,Mahindra
