name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,2014,33000,Diesel,Individual,Automatic,First Owner,11.3,2987.0,254.8,7.0,Mercedes
Volkswagen Ameo 1.5 TDI Comfortline,2020,25000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,Volkswagen
Audi A6 2.0 TDI,6,60000,Diesel,Individual,Automatic,First Owner,17.68,1968.0,174.33,5.0,Audi
Hyundai Verna CRDi SX ABS,2007,121000,Diesel,Individual,Manual,Second Owner,18.1,1493.0,110.0,5.0,Verna
Hyundai Verna CRDi SX,2010,120000,Diesel,Individual,Manual,Second Owner,16.8,1493.0,110.0,5.0,Hyundai
Hyundai Verna CRDi SX ABS,2007,120000,Diesel,Individual,Manual,Second Owner,18.1,1493.0,110.0,5.0,Hyundai
Volkswagen Polo Petrol Comfortline 1.2L,2011,110000,Petrol,Individual,Manual,First Owner,16.47,1198.0,73.9,5.0,Volkswagen
Volkswagen Jetta 2.0L TDI Highline AT,2013,84000,Diesel,Individual,Automatic,Second Owner,16.96,1968.0,138.03,5.0,Volkswagen
Honda CR-V 2.4 4WD AT,2004,120000,Petrol,Individual,Automatic,Third Owner,10.1,2354.0,152.0,5.0,Honda
