name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Wagon R VXI BS IV,2012,65000,Petrol,Partnership,Manual,Second Owner,18.9,998.0,67.1,5.0,Maruti
BMW X1 sDrive20d,2011,50000,Diesel,Individual,Automatic,First Owner,17.05,1995.0,184.0,5.0,BMW
Maruti Wagon R Duo Lxi,2012,60000,LPG,Individual,Manual,First Owner,26.2,998.0,58.2,5.0,Maruti
Fiat Grande Punto 1.3 Emotion (Diesel),2013,82500,Diesel,Individual,Manual,First Owner,20.3,1248.0,75.0,5.0,Fiat
Ford EcoSport 1.5 Diesel Titanium BSIV,2018,30000,Diesel,Individual,Manual,Second Owner,23.0,1498.0,98.96,5.0,Ford
Chevrolet Cruze LTZ,2011,100000,Diesel,Individual,Manual,Third Owner,18.3,1991.0,147.9,5.0,Chevrolet
Maruti Swift Dzire LDI Optional,2015,70000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,Maruti
Tata Zest Quadrajet 1.3 XT,2017,85000,Diesel,Individual,Manual,First Owner,20.65,1248.0,88.7,5.0,Tata
Maruti Wagon R Stingray VXI,2014,60000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.04,5.0,Maruti
