name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Hyundai Xcent 1.2 Kappa S,2014,30000,Petrol,Individual,Ai,Rent,19.1,1197.0,82.0,5.0,Hyundai
Maruti Alto 800 VXI,2018,15000,Electric,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,Maruti
Honda City i VTEC VX,2015,40000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,Honda
Nissan Micra Active XL Petrol,2017,40000,Petrol,Individual,Manual,First Owner,19.49,1198.0,67.04,5.0,Nissan
Maruti Swift ZXI,2013,60000,Petrol,Individual,Ai,Fourth & Above Owner,18.6,,85.8,5.0,Maruti
Maruti Swift ZXI,2013,67000,Petrol,Individual,Manual,First Owner,18.6,1197.0,85.8,5.0,Maruti
Maruti Swift Dzire VXi,2010,60000,Petrol,Individual,Manual,Second Owner,17.5,1298.0,85.8,5.0,Maruti
Datsun RediGO 1.0 S,2017,60000,Petrol,Individual,Manual,First Owner,22.5,999.0,67.0,5.0,Datsun
Tata Tiago 1.2 Revotron XM,2016,30000,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,Tata
