name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Swift Dzire VDI,2017,20000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.02,5.0,Maruti
Toyota Fortuner 2.8 2WD AT BSIV,2018,49000,Diesel,Individual,Automatic,First Owner,12.9,2755.0,174.5,7.0,Toyota
Honda Brio 1.2 VX MT,2017,6750,Petrol,Individual,Manual,First Owner,18.5,1198.0,86.8,5.0,Honda
Maruti Ciaz VXi Plus,2015,26000,Petrol,Individual,Manual,First Owner,20.73,1373.0,91.1,5.0,Maruti
Hyundai Grand i10 1.2 Kappa Era,2017,52000,Petrol,Individual,Manual,First Owner,17.0,1197.0,81.86,5.0,Grand
Hyundai Creta 1.6 CRDi AT S Plus,2017,51000,Diesel,Individual,Automatic,Rent,17.01,1582.0,126.2,5.0,Hyundai
Maruti Swift AMT ZXI Plus BSIV,2019,20000,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,Maruti
Maruti Ritz VXi,2011,18500,Petrol,Individual,Manual,First Owner,18.5,1197.0,85.8,5.0,Maruti
Mahindra TUV 300 T4,2017,142000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra
