name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,135000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,Ford
Skoda Rapid 1.6 TDI Ambition,2012,80000,Diesel,Individual,Manual,Second Owner,20.5,1598.0,103.5,5.0,Skoda
Chevrolet Cruze LTZ AT,2011,80000,Diesel,Individual,Automatic,Second Owner,18.1,1991.0,147.9,4.0,Chevrolet
Hyundai i20 1.2 Magna Executive,2017,19000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Hyundai Creta 1.6 VTVT E Plus,2017,42000,Petrol,Individual,Ai,First Owner,15.29,1591.0,121.3,5.0,Hyundai
Maruti Wagon R LXI BSIII,2010,77000,Petrol,Individual,Manual,Rent,18.9,998.0,67.1,5.0,Maruti
Maruti Ritz VDi,2012,120000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.94,5.0,Maruti
Toyota Glanza G CVT,9,10000,Petrol,Individual,Automatic,First Owner,19.56,1197.0,81.8,5.0,Toyota
Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2009,110000,Petrol,Individual,Manual,Third Owner,16.5,995.0,63.0,5.0,Chevrolet
