name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Honda WR-V i-DTEC VX,2018,30000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0,Honda
Mahindra Bolero 2011-2019 SLX,2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.1,7.0,Mahindra
Maruti Swift Vdi BSIII,2010,120000,Diesel,Individual,Manual,Second Owner,7 kmpl,1248.0,75.0,5.0,Maruti
Hyundai EON Era Plus,2014,70000,Petrol,Individual,Manual,First Owner,21.1,814.0,55.2,5.0,Hyundai
Maruti Swift VDI Deca,2016,210000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti
Tata Indigo eCS LE TDI BSIII,2010,148000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,5.0,Tata
Mahindra TUV 300 T6 Plus,2017,54188,Diesel,Individual,Manual,Rent,18.49,1493.0,100.0,7.0,Mahindra
Mahindra TUV 300 T6 Plus,2017,60000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra
Skoda Rapid 1.6 TDI Elegance,2012,90000,Diesel,Individual,Manual,First Owner,20.5,1598.0,103.5,5.0,Skoda
