name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Maruti Ertiga ZDI,2014,90000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.8,7.0,Maruti
Ford Ecosport Sports Diesel,2013,48000,Diesel,Dealer,Manual,Second Owner,21.7,1498.0,98.96,5.0,Ford
Honda Amaze E Diesel BSIV,2014,27233,Diesel,Dealer,Manual,First Owner,27.4,1498.0,98.63,5.0,Honda
Maruti Swift Dzire Tour LDI,2017,28832,Diesel,Dealer,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
Tata Manza Aura Safire,2011,35000,Petrol,Individual,Manual,First Owner,15.0,1368.0,90.0,5.0,Tata
Maruti Ertiga ZXI,2015,35000,Petrol,Individual,Manual,First Owner,16.02,1373.0,93.7,7.0,Maruti
Maruti Vitara Brezza VDi,2017,40000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,Maruti
Honda City 2017-2020 GXi,2006,80000,Petrol,Individual,Manual,Second Owner,17.7,1497.0,78.0,5.0,City
Mahindra Quanto C4,2016,30000,Electric,Individual,Manual,Second Owner,17.21,1493.0,100.0,7.0,Mahindra
