name,year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,car_company_name
Hyundai i20 Asta Option 1.2,2015,30000,Petrol,Dealer,Manual,First Owner,18.6,1197.0,81.83,5.0,Hyundai
Hyundai i20 Asta Option 1.4 CRDi,2016,53000,Diesel,Dealer,Manual,First Owner,22.54,1396.0,88.73,5.0,Hyundai
Hyundai Xcent 1.2 VTVT S,2017,5000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0,Hyundai
Hyundai Verna 1.6 VTVT S Option,2015,25000,Petrol,Individual,Manual,First Owner,17.01,1591.0,121.4,5.0,Hyundai
Honda City i DTec V,2014,72000,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,Honda
Maruti Swift VDI BSIV W ABS,2016,72000,Diesel,Dealer,Manual,First Owner,,,,,Maruti
Mahindra Bolero DI AC BSIII,2005,80000,Diesel,Individual,Manual,First Owner,13.6,2523.0,63.0,7.0,Mahindra
Skoda Rapid 1.6 MPI Ambition Plus,2013,29000,Petrol,Individual,Manual,Second Owner,15.0,1598.0,103.5,5.0,Skoda
Nissan Terrano XL D Option,2016,56832,Diesel,Partnership,Manual,First Owner,19.87,1461.0,83.14,5.0,Nissan
